participant_ID,Condition,Voice,hits,total,hit_rate,fa_rate,corr_mem
245,LH,Passive,1,6,0.16666666666666666,0.1875,-0.020833333333333343
245,LL,Active,1,6,0.16666666666666666,0.1875,-0.020833333333333343
245,LL,Passive,3,6,0.5,0.1875,0.3125
246,HH,Active,3,6,0.5,0.0625,0.4375
246,HH,Passive,3,6,0.5,0.0625,0.4375
246,HL,Active,3,6,0.5,0.0625,0.4375
246,HL,Passive,3,6,0.5,0.0625,0.4375
246,LH,Active,3,6,0.5,0.0625,0.4375
246,LH,Passive,2,6,0.3333333333333333,0.0625,0.2708333333333333
246,LL,Active,3,6,0.5,0.0625,0.4375
246,LL,Passive,3,6,0.5,0.0625,0.4375
247,HH,Active,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667
247,HH,Passive,6,6,1.0,0.041666666666666664,0.9583333333333334
247,HL,Active,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667
247,HL,Passive,4,6,0.6666666666666666,0.041666666666666664,0.625
247,LH,Active,6,6,1.0,0.041666666666666664,0.9583333333333334
247,LH,Passive,6,6,1.0,0.041666666666666664,0.9583333333333334
247,LL,Active,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667
247,LL,Passive,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667
249,HH,Active,6,6,1.0,0.23958333333333334,0.7604166666666666
249,HH,Passive,3,6,0.5,0.23958333333333334,0.26041666666666663
249,HL,Active,3,6,0.5,0.23958333333333334,0.26041666666666663
249,HL,Passive,6,6,1.0,0.23958333333333334,0.7604166666666666
249,LH,Active,5,6,0.8333333333333334,0.23958333333333334,0.59375
249,LH,Passive,5,6,0.8333333333333334,0.23958333333333334,0.59375
249,LL,Active,4,6,0.6666666666666666,0.23958333333333334,0.42708333333333326
249,LL,Passive,3,6,0.5,0.23958333333333334,0.26041666666666663
251,HH,Active,6,6,1.0,0.4270833333333333,0.5729166666666667
251,HH,Passive,6,6,1.0,0.4270833333333333,0.5729166666666667
251,HL,Active,6,6,1.0,0.4270833333333333,0.5729166666666667
251,HL,Passive,6,6,1.0,0.4270833333333333,0.5729166666666667
251,LH,Active,6,6,1.0,0.4270833333333333,0.5729166666666667
251,LH,Passive,5,6,0.8333333333333334,0.4270833333333333,0.40625000000000006
251,LL,Active,6,6,1.0,0.4270833333333333,0.5729166666666667
251,LL,Passive,6,6,1.0,0.4270833333333333,0.5729166666666667
252,HH,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
252,HH,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
252,HL,Active,5,6,0.8333333333333334,0.10416666666666667,0.7291666666666667
252,HL,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
252,LH,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
252,LH,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
252,LL,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
252,LL,Passive,4,6,0.6666666666666666,0.10416666666666667,0.5625
253,HH,Active,6,6,1.0,0.125,0.875
253,HH,Passive,6,6,1.0,0.125,0.875
253,HL,Active,6,6,1.0,0.125,0.875
